firstname,lastname,birthDate,height,weight,bats,throws,yearID,age,lgID,teamID,POS,G,PA,AB,R,H,X1B,X2B,X3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GIDP,mergeon,switch
francisco,cabrera,19661010,193,88,R,R,1989,22,NL,ATL,1B,4,14,14,0,3,1,2,0,0,5,0,0,0,0,0,0,0,0,3,0,cabrera 19661010,0
francisco,cabrera,19661010,193,88,R,R,1990,23,NL,ATL,1B,63,143,137,14,38,25,5,1,7,66,25,1,0,0,1,5,0,0,21,4,cabrera 19661010,0
francisco,cabrera,19661010,193,88,R,R,1991,24,NL,ATL,C,44,102,95,7,23,13,6,0,4,41,23,1,1,0,1,6,0,0,20,5,cabrera 19661010,0
francisco,cabrera,19661010,193,88,R,R,1992,25,NL,ATL,C,12,11,10,2,3,1,0,0,2,9,3,0,0,0,0,1,0,0,1,0,cabrera 19661010,0
francisco,cabrera,19661010,193,88,R,R,1993,26,NL,ATL,1B,70,91,83,8,20,13,3,0,4,35,11,0,0,0,0,8,1,0,21,2,cabrera 19661010,0
francisco,cabrera,19661010,193,90,R,R,1994,28,Pacific League,Blue Wave,IF,95,336,317,39,75,54,10,0,11,118,46,2,1,0,0,19,0,0,72,9,cabrera 19661010,1
alex,cabrera,19711224,188,98,R,R,2000,28,NL,ARI,1B,31,87,80,10,21,13,2,1,5,40,14,0,0,0,2,4,0,1,21,3,cabrera 19711224,0
alex,cabrera,19711224,185,100,R,R,2001,30,Pacific League,Lions,IF,139,605,514,96,145,73,23,0,49,315,124,3,4,0,3,84,10,4,150,7,cabrera 19711224,1
alex,cabrera,19711224,185,100,R,R,2002,31,Pacific League,Lions,IF,128,559,447,105,150,72,23,0,55,338,115,4,1,0,1,100,29,11,117,2,cabrera 19711224,-1
alex,cabrera,19711224,185,100,R,R,2003,32,Pacific League,Lions,IF,124,533,457,85,148,74,24,0,50,322,112,2,3,0,1,68,15,7,106,14,cabrera 19711224,-1
alex,cabrera,19711224,185,100,R,R,2004,33,Pacific League,Lions,1B,64,290,250,47,70,30,14,1,25,161,62,1,2,0,3,34,4,3,71,0,cabrera 19711224,-1
alex,cabrera,19711224,185,100,R,R,2005,34,Pacific League,Lions,1B,127,528,444,78,133,69,28,0,36,269,92,1,0,0,2,71,15,11,117,11,cabrera 19711224,-1
alex,cabrera,19711224,185,100,R,R,2006,35,Pacific League,Lions,1B,126,540,466,74,147,94,21,1,31,263,100,0,2,0,3,68,7,3,115,12,cabrera 19711224,-1
alex,cabrera,19711224,185,100,R,R,2007,36,Pacific League,Lions,1B,119,501,441,51,130,88,15,0,27,226,81,0,2,0,1,53,3,6,109,8,cabrera 19711224,-1
alex,cabrera,19711224,185,100,R,R,2008,37,Pacific League,Buffaloes,1B,138,576,504,88,159,93,28,2,36,299,104,2,2,0,4,62,5,6,110,17,cabrera 19711224,-1
alex,cabrera,19711224,185,100,R,R,2009,38,Pacific League,Buffaloes,1B,65,275,239,37,75,52,10,0,13,124,39,0,0,0,1,33,0,2,53,10,cabrera 19711224,-1
alex,cabrera,19711224,185,100,R,R,2010,39,Pacific League,Buffaloes,1B,112,481,408,66,135,88,21,2,24,232,82,1,0,0,2,69,4,2,91,14,cabrera 19711224,-1
alex,cabrera,19711224,185,100,R,R,2011,40,Pacific League,Hawks,DH,89,340,311,25,70,47,13,0,10,113,35,0,0,0,2,25,3,2,94,11,cabrera 19711224,-1
alex,cabrera,19711224,185,100,R,R,2012,41,Pacific League,Hawks,1B,8,29,29,1,6,4,1,0,1,10,3,0,0,0,0,0,0,0,10,0,cabrera 19711224,-1
jolbert,cabrera,19721208,188,92,R,R,1998,25,AL,CLE,SS,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,cabrera 19721208,0
jolbert,cabrera,19721208,188,92,R,R,1999,26,AL,CLE,CF,30,39,37,6,7,6,1,0,0,8,0,3,0,0,0,1,0,1,8,1,cabrera 19721208,0
jolbert,cabrera,19721208,188,92,R,R,2000,27,AL,CLE,CF,100,187,175,27,44,38,3,1,2,55,15,6,4,1,1,8,0,2,15,1,cabrera 19721208,0
jolbert,cabrera,19721208,188,92,R,R,2001,28,AL,CLE,CF,141,312,287,50,75,55,16,3,1,100,38,10,4,1,2,16,0,6,41,4,cabrera 19721208,0
jolbert,cabrera,19721208,188,92,R,R,2002,29,AL,CLE,CF,38,79,72,5,8,7,1,0,0,9,7,1,1,0,1,5,0,1,13,3,cabrera 19721208,0
jolbert,cabrera,19721208,188,92,R,R,2002,29,NL,LAN,3B,10,15,12,3,4,3,1,0,0,5,1,0,0,1,0,2,0,0,2,0,cabrera 19721208,0
jolbert,cabrera,19721208,188,92,R,R,2003,30,NL,LAN,2B,128,380,347,43,98,58,32,2,6,152,37,6,4,3,3,17,3,10,62,10,cabrera 19721208,0
jolbert,cabrera,19721208,188,92,R,R,2004,31,AL,SEA,3B,113,391,359,38,97,70,19,2,6,138,47,10,3,3,5,16,1,8,70,13,cabrera 19721208,0
jolbert,cabrera,19721208,185,88,R,R,2005,33,Pacific League,Hawks,2B,131,505,454,53,135,103,23,1,8,184,58,3,7,2,4,41,6,4,78,17,cabrera 19721208,1
jolbert,cabrera,19721208,185,88,R,R,2006,34,Pacific League,Hawks,LF,90,375,342,41,89,59,21,1,8,136,50,6,1,0,4,24,0,5,52,11,cabrera 19721208,-1
jolbert,cabrera,19721208,188,92,R,R,2008,35,NL,CIN,LF,48,126,115,17,29,19,6,1,3,46,12,2,0,0,1,8,1,2,29,3,cabrera 19721208,2
daniel,cabrera,19810528,201,102,R,R,2004,23,AL,BAL,P,28,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,cabrera 19810528,0
daniel,cabrera,19810528,201,102,R,R,2005,24,AL,BAL,P,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,cabrera 19810528,0
daniel,cabrera,19810528,201,102,R,R,2006,25,AL,BAL,P,26,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,cabrera 19810528,0
daniel,cabrera,19810528,201,102,R,R,2007,26,AL,BAL,P,34,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,cabrera 19810528,0
daniel,cabrera,19810528,201,102,R,R,2008,27,AL,BAL,P,30,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,cabrera 19810528,0
daniel,cabrera,19810528,201,102,R,R,2009,28,NL,WAS,P,9,16,11,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,9,0,cabrera 19810528,0
daniel,cabrera,19810528,201,102,R,R,2009,28,NL,ARI,P,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,cabrera 19810528,0
daniel,cabrera,19810528,203,118,R,R,2013,32,Central League,Dragons,P,20,38,34,1,1,1,0,0,0,1,0,0,0,1,0,3,0,0,29,0,cabrera 19810528,1
daniel,cabrera,19810528,203,118,R,R,2014,33,Central League,Dragons,P,14,24,21,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,19,0,cabrera 19810528,-1
wayne,cage,19511123,193,92,L,L,1978,26,AL,CLE,1B,36,108,98,11,24,13,6,1,4,44,13,1,2,1,0,9,0,0,28,2,cage 19511123,0
wayne,cage,19511123,193,92,L,L,1979,27,AL,CLE,1B,29,61,56,6,13,10,2,0,1,18,6,0,2,0,0,5,0,0,16,1,cage 19511123,0
wayne,cage,19511123,193,93,L,L,1981,30,Pacific League,Braves,OF,124,470,424,52,101,51,19,0,31,213,74,2,2,0,1,43,3,2,122,13,cage 19511123,1
wayne,cage,19511123,193,93,L,L,1982,31,Pacific League,Braves,IF,128,493,430,57,100,59,9,1,31,204,72,2,3,0,6,56,4,1,113,9,cage 19511123,-1
barbaro,canizares,19791121,191,108,R,R,2009,29,NL,ATL,1B,5,21,21,1,4,3,1,0,0,5,0,0,0,0,0,0,0,0,6,0,canizares 19791121,0
barbaro,canizares,19791121,190,109,R,R,2014,35,Pacific League,Hawks,1B,8,14,13,1,4,1,3,0,0,7,2,0,0,0,1,0,0,0,1,1,canizares 19791121,1
barbaro,canizares,19791121,190,109,R,R,2015,36,Pacific League,Hawks,1B,14,36,33,3,11,9,1,0,1,15,3,0,0,0,0,3,0,0,5,1,canizares 19791121,-1
barbaro,canizares,19791121,190,109,R,R,2016,37,Pacific League,Hawks,1B,16,42,39,3,7,6,1,0,0,8,3,0,0,0,0,2,0,1,11,1,canizares 19791121,-1
buddy,carlyle,19771221,191,95,L,R,1999,21,NL,SDN,P,7,11,9,1,2,2,0,0,0,2,1,0,0,0,0,2,0,0,3,1,carlyle 19771221,0
buddy,carlyle,19771221,188,93,L,R,2001,24,Central League,Tigers,P,28,50,44,2,6,5,1,0,0,7,1,0,0,2,0,4,0,0,22,0,carlyle 19771221,1
buddy,carlyle,19771221,188,93,L,R,2002,25,Central League,Tigers,P,3,5,4,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,carlyle 19771221,-1
buddy,carlyle,19771221,191,95,L,R,2007,29,NL,ATL,P,22,43,36,4,5,5,0,0,0,5,3,0,0,7,0,0,0,0,12,1,carlyle 19771221,2
buddy,carlyle,19771221,191,95,L,R,2008,30,NL,ATL,P,45,10,9,1,2,2,0,0,0,2,0,0,0,0,0,1,0,0,1,0,carlyle 19771221,2
buddy,carlyle,19771221,191,95,L,R,2009,31,NL,ATL,P,17,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,carlyle 19771221,2
buddy,carlyle,19771221,191,95,L,R,2014,36,NL,NYN,P,27,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,carlyle 19771221,2
mark,carreon,19630719,183,77,R,L,1987,24,NL,NYN,LF,9,13,12,0,3,3,0,0,0,3,1,0,1,0,0,1,0,0,1,0,carreon 19630719,0
mark,carreon,19630719,183,77,R,L,1988,25,NL,NYN,LF,7,11,9,5,5,2,2,0,1,10,1,0,0,0,0,2,0,0,1,0,carreon 19630719,0
mark,carreon,19630719,183,77,R,L,1989,26,NL,NYN,RF,68,146,133,20,41,29,6,0,6,65,16,2,3,0,0,12,0,1,17,1,carreon 19630719,0
mark,carreon,19630719,183,77,R,L,1990,27,NL,NYN,CF,82,205,188,30,47,25,12,0,10,89,26,1,0,0,0,15,0,2,29,1,carreon 19630719,0
mark,carreon,19630719,183,77,R,L,1991,28,NL,NYN,LF,106,270,254,18,66,56,6,0,4,84,21,2,1,1,1,12,2,2,26,13,carreon 19630719,0
mark,carreon,19630719,183,77,R,L,1992,29,AL,DET,LF,101,364,336,34,78,56,11,1,10,121,41,3,1,1,4,22,2,1,57,12,carreon 19630719,0
mark,carreon,19630719,183,77,R,L,1993,30,NL,SFN,RF,78,169,150,22,49,32,9,1,7,81,33,1,0,0,5,13,2,1,16,8,carreon 19630719,0
mark,carreon,19630719,183,77,R,L,1994,31,NL,SFN,RF,51,111,100,8,27,20,4,0,3,40,20,0,0,0,2,7,0,2,20,1,carreon 19630719,0
mark,carreon,19630719,183,77,R,L,1995,32,NL,SFN,1B,117,426,396,53,119,78,24,0,17,194,65,0,1,0,3,23,1,4,37,7,carreon 19630719,0
mark,carreon,19630719,183,77,R,L,1996,33,AL,CLE,1B,38,156,142,16,46,32,12,0,2,64,14,1,1,0,0,11,0,3,9,4,carreon 19630719,0
mark,carreon,19630719,183,77,R,L,1996,33,NL,SFN,1B,81,319,292,40,76,42,22,3,9,131,51,2,3,0,2,22,2,3,33,6,carreon 19630719,0
mark,carreon,19630719,183,89,R,L,1997,34,Pacific League,Marines,OF,129,547,481,51,134,100,19,1,14,197,77,11,3,0,8,53,5,5,60,17,carreon 19630719,1
mark,carreon,19630719,183,89,R,L,1998,35,Pacific League,Marines,OF,60,251,227,22,68,48,12,0,8,104,37,0,0,0,2,22,0,0,20,8,carreon 19630719,-1
chris,carter,19820916,183,104,L,L,2008,26,AL,BOS,LF,9,20,18,5,6,6,0,0,0,6,3,0,0,0,0,2,0,0,5,0,carter 19820916,0
chris,carter,19820916,183,104,L,L,2009,27,AL,BOS,RF,4,6,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,carter 19820916,0
chris,carter,19820916,183,104,L,L,2010,28,NL,NYN,LF,100,180,167,15,44,31,9,0,4,65,24,1,2,0,0,12,0,1,17,2,carter 19820916,0
chris,carter,19820916,183,98,L,L,2012,30,Pacific League,Lions,DH,59,138,126,9,37,25,8,0,4,57,27,0,0,0,1,10,0,1,22,3,carter 19820916,1
chris,carter,19820916,183,98,L,L,2013,31,Pacific League,Lions,DH,14,34,30,0,4,4,0,0,0,4,3,0,0,0,1,3,0,0,11,2,carter 19820916,-1
chuck,cary,19600303,193,95,L,L,1987,27,NL,ATL,P,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cary 19600303,0
chuck,cary,19600303,192,98,L,L,1992,32,Central League,Giants,P,19,16,14,1,2,2,0,0,0,2,2,0,0,1,0,1,0,0,5,1,cary 19600303,1
pedro,castellano,19700311,170,74,R,R,1993,23,NL,COL,3B,34,79,71,12,13,8,2,0,3,24,7,1,1,0,0,8,0,0,16,1,castellano 19700311,0
pedro,castellano,19700311,170,74,R,R,1995,25,NL,COL,3B,4,7,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,castellano 19700311,0
pedro,castellano,19700311,170,74,R,R,1996,26,NL,COL,2B,13,21,17,1,2,2,0,0,0,2,2,0,0,0,0,3,1,1,6,0,castellano 19700311,0
pedro,castellano,19700311,185,84,R,R,1997,27,Central League,Giants,IF,64,141,122,8,24,11,8,1,4,46,23,0,0,0,1,16,1,2,31,4,castellano 19700311,1
bobby,castillo,19550418,178,77,R,R,1977,22,NL,LAN,P,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,castillo 19550418,0
bobby,castillo,19550418,178,77,R,R,1978,23,NL,LAN,P,18,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,castillo 19550418,0
bobby,castillo,19550418,178,77,R,R,1979,24,NL,LAN,P,19,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,castillo 19550418,0
bobby,castillo,19550418,178,77,R,R,1980,25,NL,LAN,P,62,10,9,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,4,0,castillo 19550418,0
bobby,castillo,19550418,178,77,R,R,1981,26,NL,LAN,P,34,9,9,1,4,2,2,0,0,6,1,0,0,0,0,0,0,0,2,0,castillo 19550418,0
bobby,castillo,19550418,178,77,R,R,1985,30,NL,LAN,P,36,13,10,0,1,1,0,0,0,1,0,0,0,2,0,1,0,0,4,0,castillo 19550418,0
bobby,castillo,19550418,175,78,R,R,1987,32,Central League,Dragons,P,2,3,3,1,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,castillo 19550418,1
jose,castillo,19810319,185,95,R,R,2004,23,NL,PIT,2B,129,414,383,44,98,73,15,2,8,141,39,3,2,5,2,23,5,1,92,12,castillo 19810319,0
jose,castillo,19810319,185,95,R,R,2005,24,NL,PIT,2B,101,398,370,49,99,69,16,3,11,154,53,2,3,1,4,23,3,0,59,11,castillo 19810319,0
jose,castillo,19810319,185,95,R,R,2006,25,NL,PIT,2B,148,562,518,54,131,92,25,0,14,198,65,6,4,1,6,32,8,5,98,22,castillo 19810319,0
jose,castillo,19810319,185,95,R,R,2007,26,NL,PIT,3B,87,230,221,18,54,35,18,1,0,74,24,0,0,0,1,6,2,2,48,11,castillo 19810319,0
jose,castillo,19810319,185,95,R,R,2008,27,NL,SFN,3B,112,420,394,42,96,58,28,4,6,150,35,2,2,0,0,25,1,1,71,16,castillo 19810319,0
jose,castillo,19810319,185,95,R,R,2008,27,NL,HOU,3B,15,35,32,4,9,8,1,0,0,10,2,0,0,0,1,2,0,0,10,0,castillo 19810319,0
jose,castillo,19810319,186,90,R,R,2010,29,Central League,Bay Stars,2B,131,496,466,48,127,84,24,0,19,208,55,3,3,1,3,22,4,4,71,16,castillo 19810319,1
jose,castillo,19810319,186,90,R,R,2011,30,Pacific League,Marines,1B,86,356,331,31,89,70,13,1,5,119,34,0,0,0,2,18,1,5,45,10,castillo 19810319,-1
wes,chamberlain,19660413,188,95,R,R,1990,24,NL,PHI,LF,18,47,46,9,13,8,3,0,2,22,4,4,0,0,0,1,0,0,9,0,chamberlain 19660413,0
wes,chamberlain,19660413,188,95,R,R,1991,25,NL,PHI,LF,101,417,383,51,92,60,16,3,13,153,50,9,4,1,0,31,0,2,73,8,chamberlain 19660413,0
wes,chamberlain,19660413,188,95,R,R,1992,26,NL,PHI,RF,76,289,275,26,71,44,18,0,9,116,41,4,0,1,2,10,2,1,55,7,chamberlain 19660413,0
wes,chamberlain,19660413,188,95,R,R,1993,27,NL,PHI,RF,96,306,284,34,80,46,20,2,12,140,45,2,1,0,4,17,3,1,51,8,chamberlain 19660413,0
wes,chamberlain,19660413,188,95,R,R,1994,28,AL,BOS,RF,51,176,164,13,42,28,9,1,4,65,20,0,2,0,0,12,2,0,38,6,chamberlain 19660413,0
wes,chamberlain,19660413,188,95,R,R,1994,28,NL,PHI,RF,24,72,69,7,19,12,5,0,2,30,6,0,0,0,0,3,0,0,12,3,chamberlain 19660413,0
wes,chamberlain,19660413,188,95,R,R,1995,29,AL,BOS,RF,19,45,42,4,5,3,1,0,1,9,1,1,0,0,0,3,0,0,11,2,chamberlain 19660413,0
wes,chamberlain,19660413,188,104,R,R,1996,30,Pacific League,Marines,IF,68,290,261,26,66,44,11,0,11,110,38,7,2,0,0,26,0,3,52,8,chamberlain 19660413,1
bob,chance,19400910,188,88,L,R,1963,23,AL,CLE,RF,16,54,52,5,15,9,4,0,2,25,7,0,1,1,0,1,0,0,10,1,chance 19400910,0
bob,chance,19400910,188,88,L,R,1964,24,AL,CLE,1B,120,439,390,45,109,78,16,1,14,169,75,3,3,0,6,40,8,3,101,9,chance 19400910,0
bob,chance,19400910,188,88,L,R,1965,25,AL,WS2,1B,72,218,199,20,51,38,9,0,4,72,14,0,1,0,1,18,2,0,44,0,chance 19400910,0
bob,chance,19400910,188,88,L,R,1966,26,AL,WS2,1B,37,60,57,1,10,6,3,0,1,16,8,0,0,0,1,2,0,0,23,2,chance 19400910,0
bob,chance,19400910,188,88,L,R,1967,27,AL,WS2,1B,27,50,42,5,9,4,2,0,3,20,7,0,0,0,0,7,0,1,13,0,chance 19400910,0
bob,chance,19400910,188,98,L,R,1969,29,Central League,Atoms,IF,55,221,194,32,62,35,11,0,16,121,46,0,1,0,1,24,4,2,39,4,chance 19400910,1
bob,chance,19400910,188,88,L,R,1969,29,AL,CAL,1B,5,7,7,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,4,0,chance 19400910,0
bob,chance,19400910,188,98,L,R,1970,30,Central League,Atoms,IF,88,264,253,15,59,43,10,0,6,87,26,3,1,0,3,7,1,1,56,6,chance 19400910,-1
robinson,checo,19710909,185,82,R,R,1995,24,Central League,Carp,P,41,75,66,3,5,5,0,0,0,5,1,0,0,4,0,3,0,2,44,1,checo 19710909,0
robinson,checo,19710909,185,82,R,R,1996,25,Central League,Carp,P,11,21,20,0,3,2,1,0,0,4,0,0,0,1,0,0,0,0,13,1,checo 19710909,0
robinson,checo,19710909,185,74,R,R,1999,28,NL,LAN,P,9,4,3,0,1,1,0,0,0,1,2,0,0,1,0,0,0,0,2,0,checo 19710909,1
wei-yin,chen,19850721,182,80,L,L,2005,20,Central League,Dragons,P,10,3,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,chen 19850721,0
wei-yin,chen,19850721,182,80,L,L,2008,23,Central League,Dragons,P,39,28,25,0,1,0,1,0,0,2,0,0,0,3,0,0,0,0,16,0,chen 19850721,0
wei-yin,chen,19850721,182,80,L,L,2009,24,Central League,Dragons,P,25,57,56,2,7,7,0,0,0,7,2,0,0,1,0,0,0,0,21,0,chen 19850721,0
wei-yin,chen,19850721,182,80,L,L,2010,25,Central League,Dragons,P,29,60,50,3,5,4,1,0,0,6,2,0,0,8,0,2,0,0,27,1,chen 19850721,0
wei-yin,chen,19850721,182,80,L,L,2011,26,Central League,Dragons,P,25,48,44,1,1,1,0,0,0,1,0,0,0,3,0,1,0,0,21,2,chen 19850721,0
wei-yin,chen,19850721,183,88,L,L,2012,27,AL,BAL,P,32,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,chen 19850721,1
wei-yin,chen,19850721,183,88,L,L,2013,28,AL,BAL,P,23,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chen 19850721,-1
wei-yin,chen,19850721,183,88,L,L,2014,29,AL,BAL,P,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,chen 19850721,-1
wei-yin,chen,19850721,183,88,L,L,2016,31,NL,MIA,P,22,49,44,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,18,2,chen 19850721,-1
wei-yin,chen,19850721,183,88,L,L,2017,32,NL,MIA,P,9,8,8,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,chen 19850721,-1
wei-yin,chen,19850721,183,88,L,L,2018,33,NL,MIA,P,27,42,40,2,6,5,1,0,0,7,2,0,0,2,0,0,0,0,18,0,chen 19850721,-1
wei-yin,chen,19850721,183,88,L,L,2019,34,NL,MIA,P,45,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,chen 19850721,-1
wei-yin,chen,19850721,183,88,L,L,2021,36,Central League,Tigers,P,2,4,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,chen 19850721,2
bob,christian,19451017,178,81,R,R,1968,22,AL,DET,RF,3,3,3,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,christian 19451017,0
bob,christian,19451017,178,81,R,R,1969,23,AL,CHA,LF,39,143,129,11,28,21,4,0,3,41,16,3,0,0,3,10,1,1,19,3,christian 19451017,0
bob,christian,19451017,178,81,R,R,1970,24,AL,CHA,LF,12,16,15,3,4,3,0,0,1,7,3,0,0,0,0,1,0,0,4,0,christian 19451017,0
bob,christian,19451017,178,84,R,R,1971,26,Pacific League,Flyers,OF,125,486,463,42,127,94,16,1,16,193,59,2,9,1,2,20,0,0,30,15,christian 19451017,1
bob,christian,19451017,178,84,R,R,1972,27,Pacific League,Flyers,OF,107,327,295,37,72,51,9,1,11,116,31,6,3,3,2,24,1,3,30,10,christian 19451017,-1
archi,cianfrocco,19661006,196,90,R,R,1992,25,NL,MON,1B,86,247,232,25,56,43,5,2,6,83,30,3,0,1,2,11,0,1,66,2,cianfrocco 19661006,0
archi,cianfrocco,19661006,196,90,R,R,1993,26,NL,MON,1B,12,17,17,3,4,2,1,0,1,8,1,0,0,0,0,0,0,0,5,0,cianfrocco 19661006,0
archi,cianfrocco,19661006,196,90,R,R,1993,26,NL,SDN,3B,84,306,279,27,68,45,10,2,11,115,47,2,0,2,5,17,1,3,64,9,cianfrocco 19661006,0
archi,cianfrocco,19661006,196,90,R,R,1994,27,NL,SDN,3B,59,156,146,9,32,20,8,0,4,52,13,2,0,1,2,3,0,4,39,2,cianfrocco 19661006,0
archi,cianfrocco,19661006,196,90,R,R,1995,28,NL,SDN,SS,51,132,118,22,31,19,7,0,5,53,31,0,2,0,1,11,1,2,28,3,cianfrocco 19661006,0
archi,cianfrocco,19661006,196,90,R,R,1996,29,NL,SDN,1B,79,203,192,21,54,36,13,3,2,79,32,1,0,0,1,8,0,2,56,4,cianfrocco 19661006,0
archi,cianfrocco,19661006,196,90,R,R,1997,30,NL,SDN,3B,89,251,220,25,54,38,12,0,4,78,26,7,1,1,2,25,1,3,80,11,cianfrocco 19661006,0
archi,cianfrocco,19661006,196,90,R,R,1998,31,NL,SDN,1B,40,80,72,4,9,5,3,0,1,15,5,1,0,2,0,5,0,1,22,3,cianfrocco 19661006,0
archi,cianfrocco,19661006,193,96,R,R,1999,33,Pacific League,Lions,IF,15,47,43,3,7,5,0,0,2,13,5,2,0,0,0,4,0,0,14,3,cianfrocco 19661006,1
jerald,clark,19630810,193,85,R,R,1988,25,NL,SDN,LF,6,15,15,0,3,2,1,0,0,4,3,0,0,0,0,0,0,0,4,0,clark 19630810,0
jerald,clark,19630810,193,85,R,R,1989,26,NL,SDN,LF,17,44,41,5,8,5,2,0,1,13,7,0,1,0,0,3,0,0,9,0,clark 19630810,0
jerald,clark,19630810,193,85,R,R,1990,27,NL,SDN,1B,52,107,101,12,27,17,4,1,5,48,11,0,0,0,1,5,0,0,24,3,clark 19630810,0
jerald,clark,19630810,193,85,R,R,1991,28,NL,SDN,LF,118,411,369,26,84,58,16,0,10,130,47,2,1,1,4,31,2,6,90,10,clark 19630810,0
jerald,clark,19630810,193,85,R,R,1992,29,NL,SDN,LF,146,526,496,45,120,80,22,6,12,190,58,3,0,1,3,22,3,4,97,7,clark 19630810,0
jerald,clark,19630810,193,85,R,R,1993,30,NL,COL,LF,140,512,478,65,135,90,26,6,13,212,67,9,6,3,1,20,2,10,60,12,clark 19630810,0
jerald,clark,19630810,192,93,R,R,1994,31,Central League,Swallows,OF,99,415,376,61,110,74,15,1,20,187,53,3,2,0,2,23,3,14,66,9,clark 19630810,1
jerald,clark,19630810,193,85,R,R,1995,32,AL,MIN,LF,36,113,109,17,37,23,8,3,3,60,15,3,0,0,1,2,0,1,11,5,clark 19630810,2
phil,clark,19680506,183,81,R,R,1992,24,AL,DET,RF,23,61,54,3,22,17,4,0,1,29,5,1,0,1,0,6,1,0,9,2,clark 19680506,0
phil,clark,19680506,183,81,R,R,1993,25,NL,SDN,1B,102,256,240,33,75,49,17,0,9,119,33,2,0,1,2,8,2,5,31,2,clark 19680506,0
phil,clark,19680506,183,81,R,R,1994,26,NL,SDN,1B,61,160,149,14,32,21,6,0,5,53,20,1,2,0,3,5,1,3,17,1,clark 19680506,0
phil,clark,19680506,183,81,R,R,1995,27,NL,SDN,LF,75,108,97,12,21,16,3,0,2,30,7,0,2,0,2,8,1,1,18,3,clark 19680506,0
phil,clark,19680506,183,81,R,R,1996,28,AL,BOS,3B,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,clark 19680506,0
phil,clark,19680506,182,90,R,R,1997,29,Pacific League,Buffaloes,IF,135,569,526,61,174,124,27,0,23,270,93,1,3,0,5,29,6,9,67,23,clark 19680506,1
phil,clark,19680506,182,90,R,R,1998,30,Pacific League,Buffaloes,IF,135,587,531,68,170,89,48,2,31,315,114,0,1,0,4,45,10,7,75,19,clark 19680506,-1
phil,clark,19680506,182,90,R,R,1999,31,Pacific League,Buffaloes,IF,134,573,509,79,146,85,32,0,29,265,84,4,3,0,7,52,6,5,64,20,clark 19680506,-1
phil,clark,19680506,182,90,R,R,2000,32,Pacific League,Buffaloes,IF,66,274,252,31,65,44,9,2,10,108,33,0,1,0,1,14,1,7,27,13,clark 19680506,-1
matt,clark,19861210,196,104,L,R,2013,27,Central League,Dragons,1B,132,467,407,56,97,58,14,0,25,186,70,0,0,0,4,49,1,7,130,7,clark 19861210,0
matt,clark,19861210,196,104,L,R,2014,27,NL,MIL,1B,16,31,27,4,5,2,0,0,3,14,7,0,0,0,2,2,2,0,8,1,clark 19861210,1
matt,clark,19861210,196,104,L,R,2016,29,Pacific League,Buffaloes,1B,11,34,29,3,5,2,1,0,2,12,4,0,0,0,0,5,0,0,11,0,clark 19861210,2
darnell,coles,19620602,185,83,R,R,1983,21,AL,SEA,3B,27,100,92,9,26,18,7,0,1,36,6,0,3,1,0,7,0,0,12,8,coles 19620602,0
darnell,coles,19620602,185,83,R,R,1984,22,AL,SEA,3B,48,165,143,15,23,19,3,1,0,28,6,2,1,3,0,17,0,2,26,5,coles 19620602,0
